match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,non_striker,runs_of_bat,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1359475,2,Gujarat Titans,Chennai Super Kings,6,2,Shubman Gill,RA Jadeja,B Sai Sudharsan,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,6,3,Shubman Gill,RA Jadeja,B Sai Sudharsan,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,6,4,Shubman Gill,RA Jadeja,B Sai Sudharsan,0,1,1,legbyes,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,6,5,B Sai Sudharsan,RA Jadeja,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,6,6,B Sai Sudharsan,RA Jadeja,Shubman Gill,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,1,Shubman Gill,MJ Santner,B Sai Sudharsan,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,2,Shubman Gill,MJ Santner,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,3,B Sai Sudharsan,MJ Santner,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,4,B Sai Sudharsan,MJ Santner,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,5,Shubman Gill,MJ Santner,B Sai Sudharsan,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,7,6,Shubman Gill,MJ Santner,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,1,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,2,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,3,Shubman Gill,RA Jadeja,B Sai Sudharsan,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,4,Shubman Gill,RA Jadeja,B Sai Sudharsan,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,5,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,8,6,B Sai Sudharsan,RA Jadeja,Shubman Gill,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,9,1,Shubman Gill,RS Hangargekar,B Sai Sudharsan,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,9,2,B Sai Sudharsan,RS Hangargekar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,9,3,B Sai Sudharsan,RS Hangargekar,Shubman Gill,0,0,0,,1,B Sai Sudharsan,caught,MS Dhoni
1359475,2,Gujarat Titans,Chennai Super Kings,9,4,HH Pandya,RS Hangargekar,Shubman Gill,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,9,5,HH Pandya,RS Hangargekar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,9,6,HH Pandya,RS Hangargekar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,1,HH Pandya,RA Jadeja,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,2,HH Pandya,RA Jadeja,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,3,Shubman Gill,RA Jadeja,HH Pandya,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,4,HH Pandya,RA Jadeja,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,5,Shubman Gill,RA Jadeja,HH Pandya,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,10,6,Shubman Gill,RA Jadeja,HH Pandya,6,0,6,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,1,HH Pandya,MJ Santner,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,2,Shubman Gill,MJ Santner,HH Pandya,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,3,HH Pandya,MJ Santner,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,4,Shubman Gill,MJ Santner,HH Pandya,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,5,HH Pandya,MJ Santner,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,11,6,HH Pandya,MJ Santner,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,12,1,HH Pandya,RA Jadeja,Shubman Gill,0,0,0,,1,HH Pandya,bowled,
1359475,2,Gujarat Titans,Chennai Super Kings,12,2,V Shankar,RA Jadeja,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,12,3,V Shankar,RA Jadeja,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,12,4,V Shankar,RA Jadeja,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,12,5,V Shankar,RA Jadeja,Shubman Gill,2,0,2,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,12,6,V Shankar,RA Jadeja,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,1,V Shankar,RS Hangargekar,Shubman Gill,0,1,1,wides,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,2,V Shankar,RS Hangargekar,Shubman Gill,0,0,0,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,3,V Shankar,RS Hangargekar,Shubman Gill,4,0,4,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,4,V Shankar,RS Hangargekar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,5,Shubman Gill,RS Hangargekar,V Shankar,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,6,V Shankar,RS Hangargekar,Shubman Gill,0,1,1,wides,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,7,V Shankar,RS Hangargekar,Shubman Gill,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,13,8,Shubman Gill,RS Hangargekar,V Shankar,4,0,4,,0,,,
